"Drawing Date","Winning Numbers","Powerball","Powerplay"
"2016-07-27","10 - 47 - 50 - 65 - 68","24","x2"
"2016-07-23","5 - 7 - 23 - 35 - 39","11","x2"
"2016-07-20","6 - 25 - 35 - 58 - 66","5","x2"
"2016-07-16","11 - 17 - 40 - 50 - 62","26","x2"
"2016-07-13","3 - 15 - 29 - 54 - 57","10","x3"
"2016-07-09","10 - 28 - 32 - 61 - 64","12","x3"
"2016-07-06","2 - 24 - 31 - 57 - 66","18","x3"
"2016-07-02","10 - 34 - 39 - 59 - 63","4","x2"
"2016-06-29","23 - 29 - 37 - 60 - 64","6","x2"
"2016-06-25","3 - 27 - 36 - 56 - 69","25","x2"
"2016-06-22","14 - 40 - 42 - 43 - 52","17","x3"
"2016-06-18","2 - 23 - 41 - 53 - 63","11","x2"
"2016-06-15","4 - 22 - 24 - 31 - 33","10","x2"
"2016-06-11","20 - 27 - 36 - 41 - 58","7","x2"
"2016-06-08","12 - 25 - 37 - 60 - 69","20","x3"
"2016-06-04","16 - 20 - 22 - 43 - 64","17","x2"
"2016-06-01","23 - 30 - 33 - 40 - 69","12","x5"
"2016-05-28","6 - 33 - 34 - 58 - 59","12","x2"
"2016-05-25","11 - 24 - 41 - 59 - 64","15","x3"
"2016-05-21","5 - 7 - 9 - 23 - 32","26","x4"
"2016-05-18","23 - 25 - 39 - 54 - 67","11","x3"
"2016-05-14","13 - 27 - 47 - 64 - 65","9","x3"
"2016-05-11","20 - 32 - 52 - 66 - 69","23","x3"
"2016-05-07","5 - 25 - 26 - 44 - 66","9","x2"
"2016-05-04","30 - 47 - 57 - 66 - 69","3","x3"
"2016-04-30","3 - 12 - 16 - 32 - 34","14","x3"
"2016-04-27","2 - 25 - 33 - 39 - 64","17","x2"
"2016-04-23","19 - 35 - 46 - 59 - 62","13","x5"
"2016-04-20","12 - 25 - 30 - 52 - 62","8","x3"
"2016-04-16","3 - 18 - 25 - 32 - 51","3","x2"
"2016-04-13","30 - 33 - 35 - 38 - 64","22","x3"
"2016-04-09","14 - 22 - 23 - 41 - 61","9","x3"
"2016-04-06","4 - 28 - 49 - 60 - 65","25","x2"
"2016-04-02","9 - 28 - 30 - 40 - 61","3","x2"
"2016-03-30","24 - 44 - 53 - 55 - 63","19","x2"
"2016-03-26","11 - 23 - 42 - 52 - 68","6","x3"
"2016-03-23","5 - 8 - 15 - 22 - 49","25","x3"
"2016-03-19","11 - 23 - 43 - 54 - 60","3","x3"
"2016-03-16","10 - 12 - 13 - 46 - 50","21","x3"
"2016-03-12","11 - 28 - 50 - 57 - 62","23","x2"
"2016-03-09","14 - 23 - 32 - 34 - 68","3","x3"
"2016-03-05","3 - 27 - 34 - 59 - 69","19","x2"
"2016-03-02","12 - 13 - 44 - 52 - 62","6","x2"
"2016-02-27","10 - 11 - 21 - 22 - 53","18","x3"
"2016-02-24","21 - 31 - 64 - 65 - 67","5","x3"
"2016-02-20","11 - 12 - 15 - 16 - 54","25","x5"
"2016-02-17","7 - 17 - 27 - 29 - 40","25","x2"
"2016-02-13","7 - 15 - 18 - 19 - 36","20","x2"
"2016-02-10","2 - 3 - 40 - 50 - 62","5","x2"
"2016-02-06","4 - 13 - 31 - 36 - 52","8","x3"
"2016-02-03","26 - 28 - 31 - 60 - 67","23","x3"
"2016-01-30","5 - 12 - 16 - 31 - 43","18","x4"
"2016-01-27","3 - 12 - 40 - 52 - 67","21","x2"
"2016-01-23","22 - 32 - 34 - 40 - 69","19","x4"
"2016-01-20","5 - 39 - 44 - 47 - 69","24","x5"
"2016-01-16","3 - 51 - 52 - 61 - 64","6","x2"
"2016-01-13","4 - 8 - 19 - 27 - 34","10","x2"
"2016-01-09","16 - 19 - 32 - 34 - 57","13","x3"
"2016-01-06","2 - 11 - 47 - 62 - 63","17","x3"
"2016-01-02","5 - 6 - 15 - 29 - 42","10","x2"
"2015-12-30","12 - 36 - 38 - 54 - 61","22","x3"
"2015-12-26","27 - 40 - 44 - 59 - 65","20","x2"
"2015-12-23","16 - 38 - 55 - 63 - 67","25","x4"
"2015-12-19","28 - 30 - 41 - 59 - 68","10","x2"
"2015-12-16","9 - 10 - 32 - 42 - 55","6","x2"
"2015-12-12","2 - 14 - 19 - 30 - 62","22","x2"
"2015-12-09","7 - 10 - 16 - 46 - 56","1","x2"
"2015-12-05","13 - 27 - 33 - 47 - 68","13","x2"
"2015-12-02","14 - 18 - 19 - 32 - 64","9","x2"
"2015-11-28","2 - 6 - 47 - 66 - 67","2","x3"
"2015-11-25","16 - 29 - 53 - 58 - 69","21","x2"
"2015-11-21","37 - 47 - 50 - 52 - 57","21","x3"
"2015-11-18","17 - 40 - 41 - 46 - 69","6","x2"
"2015-11-14","14 - 22 - 37 - 45 - 66","5","x3"
"2015-11-11","4 - 26 - 32 - 55 - 64","18","x3"
"2015-11-07","7 - 16 - 25 - 50 - 53","15","x2"
"2015-11-04","2 - 12 - 17 - 20 - 65","17","x4"
"2015-10-31","9 - 20 - 25 - 47 - 68","7","x2"
"2015-10-28","4 - 54 - 56 - 62 - 63","10","x2"
"2015-10-24","20 - 31 - 56 - 60 - 64","2","x3"
"2015-10-21","30 - 32 - 42 - 56 - 57","11","x4"
"2015-10-17","48 - 49 - 57 - 62 - 69","19","x3"
"2015-10-14","15 - 20 - 29 - 31 - 40","1","x2"
"2015-10-10","12 - 27 - 29 - 43 - 68","1","x2"
"2015-10-07","18 - 30 - 40 - 48 - 52","9","x3"
"2015-10-03","6 - 26 - 33 - 44 - 46","4","x2"
"2015-09-30","21 - 39 - 40 - 55 - 59","17","x3"
"2015-09-26","23 - 31 - 42 - 50 - 57","5","x3"
"2015-09-23","8 - 29 - 41 - 51 - 58","5","x2"
"2015-09-19","12 - 17 - 26 - 43 - 48","24","x2"
"2015-09-16","5 - 7 - 24 - 31 - 39","7","x3"
"2015-09-12","2 - 3 - 13 - 16 - 35","27","x3"
"2015-09-09","44 - 45 - 47 - 50 - 51","8","x2"
"2015-09-05","10 - 16 - 18 - 29 - 45","19","x2"
"2015-09-02","17 - 22 - 30 - 46 - 56","16","x3"
"2015-08-29","18 - 21 - 25 - 28 - 29","16","x2"
"2015-08-26","2 - 22 - 32 - 45 - 56","12","x5"
"2015-08-22","4 - 12 - 14 - 21 - 55","7","x4"
"2015-08-19","6 - 8 - 43 - 48 - 50","7","x2"
"2015-08-15","3 - 13 - 17 - 42 - 52","24","x4"
"2015-08-12","8 - 13 - 29 - 38 - 52","28","x2"
"2015-08-08","9 - 34 - 48 - 52 - 54","15","x4"
"2015-08-05","9 - 11 - 14 - 16 - 42","19","x2"
"2015-08-01","7 - 13 - 24 - 49 - 57","15","x3"
"2015-07-29","4 - 22 - 27 - 28 - 52","35","x3"
"2015-07-25","27 - 29 - 34 - 41 - 44","2","x3"
"2015-07-22","12 - 31 - 43 - 44 - 57","11","x2"
"2015-07-18","6 - 37 - 39 - 45 - 55","33","x3"
"2015-07-15","13 - 16 - 34 - 45 - 50","11","x2"
"2015-07-11","11 - 39 - 46 - 52 - 54","3","x2"
"2015-07-08","4 - 15 - 25 - 27 - 30","18","x3"
"2015-07-04","3 - 6 - 14 - 18 - 24","21","x3"
"2015-07-01","7 - 24 - 26 - 31 - 41","25","x2"
"2015-06-27","18 - 28 - 35 - 46 - 49","27","x5"
"2015-06-24","3 - 5 - 10 - 22 - 32","7","x4"
"2015-06-20","9 - 10 - 16 - 20 - 57","15","x2"
"2015-06-17","20 - 21 - 22 - 41 - 54","7","x3"
"2015-06-13","29 - 41 - 48 - 52 - 54","29","x2"
"2015-06-10","31 - 32 - 48 - 49 - 53","25","x2"
"2015-06-06","8 - 13 - 18 - 27 - 43","15","x4"
"2015-06-03","6 - 8 - 13 - 37 - 40","11","x2"
"2015-05-30","8 - 9 - 25 - 56 - 57","22","x2"
"2015-05-27","8 - 15 - 34 - 53 - 59","23","x2"
"2015-05-23","9 - 15 - 17 - 31 - 43","16","x4"
"2015-05-20","1 - 12 - 28 - 35 - 44","25","x3"
"2015-05-16","24 - 29 - 38 - 48 - 52","32","x2"
"2015-05-13","1 - 25 - 29 - 31 - 47","7","x3"
"2015-05-09","4 - 15 - 17 - 35 - 58","17","x3"
"2015-05-06","23 - 24 - 27 - 39 - 41","30","x5"
"2015-05-02","2 - 6 - 11 - 30 - 31","33","x3"
"2015-04-29","1 - 26 - 34 - 38 - 51","6","x3"
"2015-04-25","21 - 33 - 35 - 38 - 45","12","x2"
"2015-04-22","10 - 14 - 25 - 39 - 53","18","x2"
"2015-04-18","13 - 22 - 23 - 29 - 31","17","x3"
"2015-04-15","1 - 16 - 21 - 29 - 40","30","x3"
"2015-04-11","1 - 12 - 32 - 42 - 58","12","x2"
"2015-04-08","1 - 19 - 45 - 46 - 58","29","x2"
"2015-04-04","33 - 39 - 40 - 41 - 54","28","x3"
"2015-04-01","2 - 30 - 33 - 39 - 44","1","x3"
"2015-03-28","2 - 4 - 6 - 12 - 38","17","x3"
"2015-03-25","7 - 19 - 23 - 50 - 54","14","x2"
"2015-03-21","11 - 16 - 30 - 38 - 42","7","x4"
"2015-03-18","14 - 25 - 30 - 33 - 47","8","x2"
"2015-03-14","8 - 14 - 39 - 46 - 47","18","x2"
"2015-03-11","11 - 24 - 31 - 40 - 44","27","x2"
"2015-03-07","34 - 36 - 38 - 42 - 50","33","x4"
"2015-03-04","8 - 12 - 15 - 35 - 50","32","x2"
"2015-02-28","11 - 17 - 25 - 28 - 46","12","x2"
"2015-02-25","17 - 19 - 21 - 32 - 39","8","x3"
"2015-02-21","10 - 14 - 18 - 34 - 51","26","x2"
"2015-02-18","1 - 9 - 29 - 32 - 49","22","x2"
"2015-02-14","1 - 24 - 44 - 45 - 51","28","x2"
"2015-02-11","11 - 13 - 25 - 39 - 54","19","x3"
"2015-02-07","5 - 10 - 21 - 34 - 58","33","x5"
"2015-02-04","24 - 36 - 51 - 52 - 56","22","x2"
"2015-01-31","5 - 11 - 16 - 26 - 50","34","x2"
"2015-01-28","12 - 24 - 35 - 36 - 49","1","x5"
"2015-01-24","16 - 19 - 20 - 29 - 33","10","x2"
"2015-01-21","11 - 12 - 15 - 28 - 57","23","x4"
"2015-01-17","15 - 16 - 23 - 27 - 36","9","x2"
"2015-01-14","2 - 4 - 10 - 41 - 53","22","x5"
"2015-01-10","2 - 9 - 19 - 28 - 29","19","x5"
"2015-01-07","14 - 15 - 47 - 49 - 59","10","x2"
"2015-01-03","4 - 18 - 43 - 46 - 55","25","x3"
"2014-12-31","17 - 27 - 37 - 40 - 53","35","x2"
"2014-12-27","7 - 10 - 11 - 14 - 36","15","x2"
"2014-12-24","11 - 12 - 46 - 47 - 50","22","x4"
"2014-12-20","14 - 15 - 19 - 31 - 56","5","x5"
"2014-12-17","22 - 31 - 38 - 47 - 48","15","x3"
"2014-12-13","5 - 13 - 28 - 43 - 55","33","x3"
"2014-12-10","34 - 44 - 48 - 54 - 55","10","x2"
"2014-12-06","12 - 15 - 22 - 43 - 49","14","x2"
"2014-12-03","25 - 30 - 32 - 46 - 54","26","x3"
"2014-11-29","13 - 24 - 30 - 42 - 48","27","x2"
"2014-11-26","16 - 17 - 22 - 46 - 54","35","x5"
"2014-11-22","23 - 49 - 53 - 54 - 57","35","x2"
"2014-11-19","6 - 36 - 38 - 48 - 51","17","x2"
"2014-11-15","13 - 16 - 33 - 35 - 51","28","x2"
"2014-11-12","37 - 39 - 51 - 52 - 55","11","x3"
"2014-11-08","9 - 19 - 33 - 38 - 54","15","x3"
"2014-11-05","2 - 11 - 19 - 21 - 42","34","x3"
"2014-11-01","1 - 3 - 13 - 25 - 38","17","x2"
"2014-10-29","25 - 28 - 48 - 57 - 59","16","x3"
"2014-10-25","6 - 10 - 51 - 54 - 57","12","x2"
"2014-10-22","29 - 30 - 40 - 42 - 50","16","x2"
"2014-10-18","20 - 26 - 27 - 36 - 54","19","x2"
"2014-10-15","5 - 7 - 19 - 27 - 28","20","x2"
"2014-10-11","10 - 19 - 37 - 38 - 39","28","x2"
"2014-10-08","5 - 16 - 31 - 46 - 50","18","x3"
"2014-10-04","13 - 18 - 24 - 25 - 33","31","x2"
"2014-10-01","1 - 4 - 18 - 20 - 45","7","x2"
"2014-09-27","2 - 11 - 35 - 52 - 54","13","x3"
"2014-09-24","7 - 14 - 21 - 24 - 41","26","x4"
"2014-09-20","22 - 23 - 30 - 37 - 39","16","x4"
"2014-09-17","18 - 25 - 36 - 48 - 50","23","x2"
"2014-09-13","1 - 6 - 16 - 37 - 53","27","x3"
"2014-09-10","2 - 14 - 39 - 40 - 43","13","x5"
"2014-09-06","9 - 29 - 31 - 43 - 50","18","x2"
"2014-09-03","2 - 16 - 43 - 45 - 51","35","x3"
"2014-08-30","5 - 28 - 31 - 52 - 59","27","x2"
"2014-08-27","17 - 24 - 26 - 45 - 46","19","x3"
"2014-08-23","28 - 32 - 35 - 36 - 52","31","x3"
"2014-08-20","4 - 8 - 21 - 38 - 40","3","x2"
"2014-08-16","7 - 8 - 17 - 48 - 59","9","x2"
"2014-08-13","8 - 37 - 39 - 40 - 52","24","x2"
"2014-08-09","3 - 12 - 31 - 34 - 51","24","x2"
"2014-08-06","1 - 8 - 24 - 28 - 49","24","x5"
"2014-08-02","12 - 26 - 44 - 46 - 47","29","x2"
"2014-07-30","13 - 30 - 42 - 49 - 53","29","x3"
"2014-07-26","24 - 28 - 30 - 38 - 39","16","x2"
"2014-07-23","4 - 10 - 12 - 22 - 31","3","x5"
"2014-07-19","10 - 17 - 25 - 45 - 53","9","x2"
"2014-07-16","5 - 15 - 18 - 26 - 32","35","x3"
"2014-07-12","2 - 3 - 7 - 23 - 51","26","x2"
"2014-07-09","9 - 25 - 42 - 55 - 57","14","x2"
"2014-07-05","24 - 34 - 36 - 57 - 58","11","x4"
"2014-07-02","8 - 18 - 45 - 53 - 58","35","x2"
"2014-06-28","8 - 12 - 34 - 43 - 56","9","x2"
"2014-06-25","10 - 20 - 25 - 50 - 53","35","x4"
"2014-06-21","5 - 6 - 37 - 41 - 54","26","x3"
"2014-06-18","6 - 9 - 29 - 52 - 59","7","x3"
"2014-06-14","9 - 33 - 42 - 45 - 54","30","x3"
"2014-06-11","14 - 18 - 25 - 33 - 49","23","x5"
"2014-06-07","28 - 30 - 35 - 58 - 59","15","x2"
"2014-06-04","1 - 7 - 10 - 22 - 49","24","x3"
"2014-05-31","15 - 27 - 31 - 34 - 48","1","x2"
"2014-05-28","2 - 24 - 28 - 32 - 59","25","x3"
"2014-05-24","15 - 16 - 28 - 49 - 55","18","x2"
"2014-05-21","4 - 20 - 34 - 39 - 58","31","x5"
"2014-05-17","23 - 32 - 39 - 47 - 49","22","x3"
"2014-05-14","7 - 33 - 39 - 52 - 55","33","x3"
"2014-05-10","4 - 31 - 41 - 47 - 55","1","x2"
"2014-05-07","17 - 29 - 31 - 48 - 49","34","x2"
"2014-05-03","5 - 15 - 16 - 46 - 49","26","x4"
"2014-04-30","2 - 9 - 11 - 19 - 50","32","x3"
"2014-04-26","3 - 7 - 22 - 30 - 33","20","x3"
"2014-04-23","19 - 25 - 29 - 36 - 48","12","x4"
"2014-04-19","5 - 6 - 29 - 35 - 51","21","x5"
"2014-04-16","34 - 39 - 42 - 44 - 59","8","x3"
"2014-04-12","14 - 26 - 45 - 54 - 55","20","x2"
"2014-04-09","9 - 14 - 44 - 48 - 49","29","x2"
"2014-04-05","11 - 21 - 26 - 33 - 34","29","x5"
"2014-04-02","8 - 13 - 19 - 22 - 53","24","x2"
"2014-03-29","2 - 3 - 12 - 27 - 38","17","x2"
"2014-03-26","28 - 33 - 41 - 44 - 59","21","x2"
"2014-03-22","13 - 28 - 31 - 55 - 58","15","x2"
"2014-03-19","2 - 19 - 23 - 34 - 43","14","x2"
"2014-03-15","2 - 5 - 34 - 51 - 58","9","x4"
"2014-03-12","14 - 15 - 28 - 37 - 54","10","x2"
"2014-03-08","10 - 14 - 24 - 32 - 41","30","x2"
"2014-03-05","3 - 7 - 9 - 26 - 54","19","x2"
"2014-03-01","3 - 8 - 25 - 30 - 47","13","x4"
"2014-02-26","11 - 12 - 17 - 38 - 42","2","x2"
"2014-02-22","2 - 3 - 13 - 14 - 54","4","x5"
"2014-02-19","1 - 17 - 35 - 49 - 54","34","x3"
"2014-02-15","2 - 9 - 14 - 21 - 23","3","x3"
"2014-02-12","36 - 44 - 49 - 52 - 57","1","x2"
"2014-02-08","24 - 25 - 34 - 37 - 54","29","x2"
"2014-02-05","8 - 17 - 32 - 57 - 59","24","x3"
"2014-02-01","5 - 12 - 15 - 27 - 38","7","x2"
"2014-01-29","11 - 23 - 28 - 32 - 47","20","x2"
"2014-01-25","8 - 12 - 18 - 55 - 57","2","x2"
"2014-01-22","1 - 2 - 7 - 9 - 55","29","x3"
"2014-01-18","13 - 14 - 19 - 31 - 38","25",""
"2014-01-15","7 - 8 - 9 - 24 - 29","25",""
"2014-01-11","10 - 15 - 33 - 48 - 54","34",""
"2014-01-08","10 - 28 - 39 - 47 - 58","22",""
"2014-01-04","19 - 20 - 37 - 41 - 58","14",""
"2014-01-01","15 - 24 - 40 - 48 - 52","23",""
"2013-12-28","8 - 35 - 44 - 51 - 56","18",""
"2013-12-25","23 - 28 - 38 - 39 - 56","32",""
"2013-12-21","25 - 36 - 40 - 45 - 51","8",""
"2013-12-18","7 - 24 - 37 - 39 - 40","1",""
"2013-12-14","14 - 25 - 32 - 33 - 41","34",""
"2013-12-11","1 - 10 - 13 - 18 - 19","27",""
"2013-12-07","13 - 20 - 32 - 45 - 48","17",""
"2013-12-04","6 - 9 - 11 - 31 - 44","25",""
"2013-11-30","5 - 26 - 44 - 45 - 57","29",""
"2013-11-27","18 - 25 - 50 - 55 - 57","17",""
"2013-11-23","5 - 12 - 43 - 52 - 55","10",""
"2013-11-20","4 - 18 - 23 - 32 - 45","7",""
"2013-11-16","10 - 29 - 37 - 44 - 59","10",""
"2013-11-13","5 - 31 - 50 - 55 - 56","9",""
"2013-11-09","3 - 9 - 37 - 49 - 56","32",""
"2013-11-06","1 - 5 - 10 - 15 - 49","22",""
"2013-11-02","13 - 23 - 24 - 27 - 40","17",""
"2013-10-30","2 - 36 - 40 - 49 - 54","10",""
"2013-10-26","4 - 6 - 34 - 49 - 56","29",""
"2013-10-23","3 - 23 - 31 - 34 - 47","13",""
"2013-10-19","9 - 33 - 54 - 56 - 57","5",""
"2013-10-16","3 - 26 - 28 - 34 - 42","28",""
"2013-10-12","8 - 10 - 26 - 57 - 58","4",""
"2013-10-09","3 - 9 - 19 - 33 - 38","18",""
"2013-10-05","11 - 12 - 17 - 39 - 40","5",""
"2013-10-02","4 - 6 - 25 - 42 - 51","17",""
"2013-09-28","14 - 47 - 52 - 53 - 54","5",""
"2013-09-25","2 - 7 - 17 - 49 - 53","23",""
"2013-09-21","12 - 17 - 45 - 54 - 58","13",""
"2013-09-18","7 - 10 - 22 - 32 - 35","19",""
"2013-09-14","1 - 17 - 25 - 37 - 44","20",""
"2013-09-11","11 - 19 - 33 - 42 - 52","33",""
"2013-09-07","2 - 19 - 22 - 26 - 45","24",""
"2013-09-04","2 - 9 - 26 - 45 - 47","11",""
"2013-08-31","2 - 7 - 25 - 40 - 56","20",""
"2013-08-28","6 - 7 - 9 - 19 - 32","13",""
"2013-08-24","12 - 17 - 25 - 45 - 59","19",""
"2013-08-21","30 - 40 - 42 - 46 - 48","23",""
"2013-08-17","18 - 21 - 46 - 54 - 56","23",""
"2013-08-14","4 - 11 - 17 - 43 - 51","20",""
"2013-08-10","4 - 12 - 14 - 37 - 58","13",""
"2013-08-07","5 - 25 - 30 - 58 - 59","32",""
"2013-08-03","21 - 24 - 36 - 42 - 45","15",""
"2013-07-31","8 - 24 - 39 - 49 - 59","5",""
"2013-07-27","9 - 23 - 40 - 53 - 58","6",""
"2013-07-24","9 - 29 - 40 - 44 - 54","7",""
"2013-07-20","14 - 25 - 27 - 38 - 58","6",""
"2013-07-17","1 - 22 - 34 - 38 - 42","17",""
"2013-07-13","2 - 8 - 22 - 35 - 37","6",""
"2013-07-10","30 - 31 - 45 - 55 - 59","27",""
"2013-07-06","2 - 13 - 35 - 36 - 52","11",""
"2013-07-03","3 - 6 - 29 - 40 - 51","4",""
"2013-06-29","8 - 28 - 30 - 53 - 56","16",""
"2013-06-26","1 - 18 - 33 - 39 - 46","33",""
"2013-06-22","13 - 19 - 23 - 33 - 57","28",""
"2013-06-19","7 - 46 - 47 - 52 - 57","17",""
"2013-06-15","28 - 36 - 40 - 48 - 55","1",""
"2013-06-12","16 - 22 - 23 - 42 - 55","32",""
"2013-06-08","2 - 11 - 22 - 26 - 32","19",""
"2013-06-05","4 - 26 - 33 - 36 - 55","32",""
"2013-06-01","22 - 28 - 33 - 53 - 59","14",""
"2013-05-29","9 - 14 - 17 - 49 - 57","2",""
"2013-05-25","2 - 6 - 19 - 21 - 27","25",""
"2013-05-22","9 - 31 - 35 - 41 - 57","26",""
"2013-05-18","10 - 13 - 14 - 22 - 52","11",""
"2013-05-15","2 - 11 - 26 - 34 - 41","32",""
"2013-05-11","6 - 13 - 19 - 23 - 43","16",""
"2013-05-08","21 - 22 - 26 - 30 - 57","27",""
"2013-05-04","7 - 12 - 26 - 36 - 40","17",""
"2013-05-01","22 - 26 - 31 - 54 - 55","18",""
"2013-04-27","3 - 23 - 48 - 54 - 55","5",""
"2013-04-24","9 - 19 - 31 - 56 - 59","2",""
"2013-04-20","6 - 8 - 30 - 39 - 48","20",""
"2013-04-17","13 - 18 - 36 - 48 - 58","28",""
"2013-04-13","10 - 12 - 31 - 56 - 57","33",""
"2013-04-10","1 - 36 - 40 - 52 - 53","20",""
"2013-04-06","4 - 7 - 8 - 29 - 39","24",""
"2013-04-03","1 - 6 - 8 - 12 - 35","3",""
"2013-03-30","11 - 23 - 26 - 46 - 55","27",""
"2013-03-27","7 - 37 - 43 - 48 - 52","16",""
"2013-03-23","17 - 29 - 31 - 52 - 53","31",""
"2013-03-20","13 - 14 - 17 - 43 - 54","15",""
"2013-03-16","3 - 7 - 21 - 44 - 53","16",""
"2013-03-13","5 - 9 - 28 - 32 - 38","29",""
"2013-03-09","10 - 37 - 40 - 46 - 52","12",""
"2013-03-06","6 - 10 - 23 - 41 - 45","1",""
"2013-03-02","3 - 8 - 13 - 41 - 56","16",""
"2013-02-27","3 - 14 - 20 - 34 - 48","21",""
"2013-02-23","2 - 5 - 31 - 39 - 41","29",""
"2013-02-20","3 - 17 - 19 - 25 - 32","17",""
"2013-02-16","15 - 16 - 46 - 50 - 58","29",""
"2013-02-13","12 - 23 - 25 - 27 - 43","29",""
"2013-02-09","5 - 6 - 16 - 36 - 58","3",""
"2013-02-06","5 - 27 - 36 - 38 - 41","12",""
"2013-02-02","11 - 16 - 33 - 40 - 41","34",""
"2013-01-30","14 - 16 - 32 - 47 - 52","16",""
"2013-01-26","3 - 22 - 26 - 41 - 49","18",""
"2013-01-23","11 - 12 - 24 - 43 - 45","9",""
"2013-01-19","8 - 28 - 29 - 34 - 38","35",""
"2013-01-16","9 - 21 - 28 - 32 - 51","35",""
"2013-01-12","10 - 14 - 21 - 23 - 47","7",""
"2013-01-09","11 - 13 - 20 - 27 - 59","26",""
"2013-01-05","26 - 30 - 49 - 51 - 54","25",""
"2013-01-02","18 - 20 - 28 - 35 - 53","20",""
"2012-12-29","36 - 46 - 50 - 52 - 55","14",""
"2012-12-26","11 - 13 - 23 - 43 - 54","4",""
"2012-12-22","1 - 18 - 35 - 39 - 44","11",""
"2012-12-19","5 - 8 - 20 - 23 - 30","3",""
"2012-12-15","15 - 23 - 40 - 44 - 55","14",""
"2012-12-12","8 - 10 - 25 - 36 - 44","28",""
"2012-12-08","7 - 23 - 26 - 40 - 53","21",""
"2012-12-05","13 - 17 - 19 - 27 - 38","12",""
"2012-12-01","3 - 10 - 19 - 36 - 46","3",""
"2012-11-28","5 - 16 - 22 - 23 - 29","6",""
"2012-11-24","22 - 32 - 37 - 44 - 50","34",""
"2012-11-21","8 - 18 - 24 - 30 - 39","26",""
"2012-11-17","3 - 15 - 27 - 58 - 59","20",""
"2012-11-14","8 - 10 - 30 - 44 - 58","13",""
"2012-11-10","32 - 42 - 50 - 54 - 55","32",""
"2012-11-07","32 - 34 - 45 - 52 - 58","20",""
"2012-11-03","4 - 7 - 9 - 30 - 54","25",""
"2012-10-31","1 - 27 - 31 - 45 - 48","5",""
"2012-10-27","22 - 32 - 34 - 36 - 56","33",""
"2012-10-24","3 - 18 - 21 - 23 - 50","4",""
"2012-10-20","4 - 21 - 28 - 31 - 44","10",""
"2012-10-17","1 - 7 - 10 - 23 - 42","35",""
"2012-10-13","2 - 5 - 25 - 26 - 49","18",""
"2012-10-10","18 - 26 - 29 - 35 - 43","28",""
"2012-10-06","15 - 26 - 34 - 36 - 59","35",""
"2012-10-03","17 - 23 - 36 - 55 - 59","10",""
"2012-09-29","14 - 18 - 28 - 29 - 57","8",""
"2012-09-26","13 - 26 - 39 - 41 - 42","10",""
"2012-09-22","2 - 16 - 18 - 40 - 42","33",""
"2012-09-19","1 - 5 - 8 - 39 - 50","23",""
"2012-09-15","3 - 20 - 26 - 43 - 48","1",""
"2012-09-12","24 - 33 - 36 - 48 - 56","6",""
"2012-09-08","6 - 20 - 34 - 44 - 48","29",""
"2012-09-05","4 - 19 - 26 - 42 - 51","29",""
"2012-09-01","8 - 11 - 21 - 44 - 49","22",""
"2012-08-29","25 - 28 - 49 - 54 - 56","28",""
"2012-08-25","1 - 6 - 7 - 20 - 49","23",""
"2012-08-22","22 - 29 - 31 - 47 - 55","19",""
"2012-08-18","14 - 26 - 41 - 55 - 59","1",""
"2012-08-15","6 - 27 - 46 - 51 - 56","21",""
"2012-08-11","4 - 13 - 39 - 46 - 51","1",""
"2012-08-08","3 - 7 - 11 - 15 - 28","12",""
"2012-08-04","19 - 30 - 48 - 53 - 55","18",""
"2012-08-01","3 - 16 - 48 - 56 - 58","4",""
"2012-07-28","5 - 6 - 13 - 36 - 50","13",""
"2012-07-25","3 - 14 - 35 - 38 - 46","16",""
"2012-07-21","9 - 31 - 38 - 54 - 56","20",""
"2012-07-18","2 - 5 - 20 - 23 - 57","3",""
"2012-07-14","4 - 16 - 32 - 37 - 46","13",""
"2012-07-11","5 - 22 - 36 - 49 - 55","23",""
"2012-07-07","3 - 5 - 29 - 39 - 59","29",""
"2012-07-04","14 - 19 - 35 - 39 - 56","33",""
"2012-06-30","7 - 15 - 20 - 41 - 44","22",""
"2012-06-27","6 - 34 - 40 - 46 - 58","6",""
"2012-06-23","1 - 3 - 41 - 44 - 53","30",""
"2012-06-20","11 - 17 - 29 - 56 - 57","14",""
"2012-06-16","8 - 14 - 15 - 16 - 27","26",""
"2012-06-13","7 - 10 - 14 - 33 - 57","18",""
"2012-06-09","18 - 22 - 45 - 56 - 57","27",""
"2012-06-06","19 - 30 - 33 - 48 - 59","27",""
"2012-06-02","9 - 10 - 17 - 29 - 45","33",""
"2012-05-30","9 - 10 - 24 - 52 - 56","14",""
"2012-05-26","13 - 14 - 41 - 49 - 59","14",""
"2012-05-23","4 - 7 - 26 - 53 - 59","32",""
"2012-05-19","8 - 13 - 35 - 46 - 51","30",""
"2012-05-16","3 - 7 - 21 - 28 - 43","2",""
"2012-05-12","10 - 24 - 35 - 53 - 58","22",""
"2012-05-09","1 - 7 - 11 - 55 - 56","1",""
"2012-05-05","9 - 12 - 20 - 44 - 59","23",""
"2012-05-02","7 - 8 - 33 - 38 - 50","29",""
"2012-04-28","31 - 39 - 40 - 57 - 58","33",""
"2012-04-25","4 - 25 - 29 - 34 - 43","29",""
"2012-04-21","6 - 8 - 20 - 42 - 51","16",""
"2012-04-18","20 - 22 - 39 - 46 - 49","29",""
"2012-04-14","14 - 15 - 16 - 19 - 24","2",""
