"Drawing Date","Winning Numbers","Powerball","Powerplay"
"2019-10-09","5 - 18 - 33 - 43 - 65","2","x2"
"2019-10-05","6 - 14 - 36 - 51 - 54","4","x2"
"2019-10-02","4 - 8 - 10 - 43 - 53","7","x2"
"2019-09-28","15 - 23 - 34 - 51 - 55","4","x2"
"2019-09-25","37 - 43 - 44 - 45 - 53","25","x3"
"2019-09-21","1 - 9 - 22 - 36 - 68","22","x2"
"2019-09-18","14 - 19 - 39 - 47 - 51","15","x3"
"2019-09-14","11 - 27 - 31 - 36 - 67","11","x2"
"2019-09-11","6 - 17 - 24 - 53 - 57","3","x3"
"2019-09-07","11 - 20 - 41 - 42 - 56","6","x2"
"2019-09-04","4 - 8 - 30 - 52 - 59","2","x10"
"2019-08-31","14 - 41 - 50 - 56 - 57","18","x5"
"2019-08-28","9 - 32 - 37 - 41 - 56","14","x10"
"2019-08-24","5 - 12 - 20 - 21 - 47","1","x2"
"2019-08-21","12 - 21 - 22 - 29 - 32","21","x2"
"2019-08-17","18 - 21 - 24 - 30 - 60","20","x3"
"2019-08-14","10 - 13 - 30 - 51 - 69","10","x2"
"2019-08-10","35 - 41 - 44 - 58 - 59","3","x3"
"2019-08-07","8 - 32 - 47 - 53 - 59","3","x3"
"2019-08-03","3 - 6 - 45 - 66 - 68","13","x2"
"2019-07-31","14 - 37 - 47 - 55 - 67","6","x2"
"2019-07-27","1 - 19 - 31 - 48 - 61","6","x2"
"2019-07-24","22 - 29 - 35 - 53 - 56","13","x2"
"2019-07-20","5 - 26 - 36 - 64 - 69","19","x3"
"2019-07-17","19 - 43 - 47 - 60 - 68","10","x2"
"2019-07-13","13 - 23 - 32 - 35 - 68","21","x3"
"2019-07-10","7 - 9 - 26 - 44 - 68","3","x3"
"2019-07-06","4 - 8 - 23 - 46 - 65","1","x2"
"2019-07-03","40 - 43 - 45 - 50 - 61","25","x3"
"2019-06-29","13 - 17 - 24 - 59 - 62","8","x2"
"2019-06-26","1 - 5 - 16 - 22 - 54","24","x3"
"2019-06-22","3 - 6 - 11 - 14 - 66","21","x2"
"2019-06-19","4 - 18 - 21 - 26 - 38","1","x3"
"2019-06-15","8 - 11 - 14 - 16 - 49","14","x3"
"2019-06-12","5 - 35 - 38 - 42 - 57","13","x2"
"2019-06-08","9 - 13 - 42 - 48 - 60","18","x2"
"2019-06-05","17 - 23 - 28 - 34 - 38","8","x3"
"2019-06-01","6 - 15 - 34 - 45 - 52","8","x2"
"2019-05-29","3 - 32 - 34 - 42 - 61","7","x2"
"2019-05-25","1 - 2 - 39 - 43 - 66","2","x3"
"2019-05-22","7 - 10 - 20 - 44 - 57","3","x2"
"2019-05-18","2 - 10 - 25 - 66 - 67","26","x4"
"2019-05-15","7 - 17 - 33 - 61 - 68","4","x2"
"2019-05-11","6 - 8 - 9 - 37 - 40","26","x2"
"2019-05-08","1 - 45 - 53 - 64 - 66","3","x3"
"2019-05-04","6 - 16 - 23 - 30 - 61","2","x2"
"2019-05-01","5 - 23 - 28 - 56 - 66","17","x5"
"2019-04-27","2 - 29 - 41 - 45 - 62","6","x3"
"2019-04-24","6 - 32 - 35 - 36 - 65","4","x5"
"2019-04-20","3 - 27 - 30 - 63 - 65","1","x3"
"2019-04-17","1 - 15 - 17 - 46 - 66","15","x3"
"2019-04-13","4 - 17 - 26 - 32 - 49","10","x2"
"2019-04-10","12 - 21 - 23 - 39 - 67","6","x4"
"2019-04-06","15 - 33 - 43 - 59 - 60","8","x3"
"2019-04-03","16 - 19 - 25 - 32 - 49","18","x2"
"2019-03-30","21 - 52 - 54 - 64 - 68","4","x3"
"2019-03-27","16 - 20 - 37 - 44 - 62","12","x3"
"2019-03-23","24 - 25 - 52 - 60 - 66","5","x3"
"2019-03-20","10 - 14 - 50 - 53 - 63","21","x2"
"2019-03-16","30 - 34 - 39 - 53 - 67","11","x2"
"2019-03-13","18 - 36 - 45 - 47 - 69","14","x3"
"2019-03-09","5 - 6 - 45 - 55 - 59","14","x3"
"2019-03-06","6 - 10 - 21 - 35 - 46","23","x2"
